date,jour,mois,annee,ville,temp,is_rainy
2021-05-02,2,5,2021,London,8.0,1
2021-05-03,3,5,2021,London,8.8,1
2021-05-04,4,5,2021,London,9.9,1
2021-05-05,5,5,2021,London,6.8,1
2021-05-06,6,5,2021,London,6.6,1
2021-05-07,7,5,2021,London,8.3,1
2021-05-08,8,5,2021,London,11.6,1
2021-05-09,9,5,2021,London,15.4,1
2021-05-10,10,5,2021,London,12.6,1
2021-05-11,11,5,2021,London,11.4,1
2021-05-12,12,5,2021,London,12.0,1
2021-05-13,13,5,2021,London,10.8,1
2021-05-14,14,5,2021,London,10.3,1
2021-05-15,15,5,2021,London,10.5,1
2021-05-16,16,5,2021,London,10.6,1
2021-05-17,17,5,2021,London,11.7,1
2021-05-18,18,5,2021,London,11.2,1
2021-05-19,19,5,2021,London,11.3,1
2021-05-20,20,5,2021,London,10.4,1
2021-05-21,21,5,2021,London,11.2,1
2021-05-22,22,5,2021,London,10.7,1
2021-05-23,23,5,2021,London,9.8,1
2021-05-24,24,5,2021,London,10.2,1
2021-05-25,25,5,2021,London,10.6,1
2021-05-26,26,5,2021,London,10.8,1
2021-05-27,27,5,2021,London,13.3,0
2021-05-28,28,5,2021,London,14.1,1
2021-05-29,29,5,2021,London,14.2,0
2021-05-30,30,5,2021,London,12.7,0
2021-05-31,31,5,2021,London,15.4,0
2021-06-01,1,6,2021,London,17.5,0
2021-06-02,2,6,2021,London,19.0,1
2021-06-03,3,6,2021,London,19.2,1
2021-06-04,4,6,2021,London,14.6,1
2021-06-05,5,6,2021,London,16.9,0
2021-06-06,6,6,2021,London,16.7,1
2021-06-07,7,6,2021,London,17.2,1
2021-06-08,8,6,2021,London,17.6,0
2021-06-09,9,6,2021,London,18.0,0
2021-06-10,10,6,2021,London,18.4,1
2021-06-11,11,6,2021,London,19.3,0
2021-06-12,12,6,2021,London,18.5,0
2021-06-13,13,6,2021,London,19.6,0
2021-06-14,14,6,2021,London,21.0,1
2021-06-15,15,6,2021,London,19.1,1
2021-06-16,16,6,2021,London,20.9,1
2021-06-17,17,6,2021,London,19.6,1
2021-06-18,18,6,2021,London,15.0,1
2021-06-19,19,6,2021,London,13.9,1
2021-06-20,20,6,2021,London,14.9,1
2021-06-21,21,6,2021,London,12.7,1
2021-06-22,22,6,2021,London,13.0,1
2021-06-23,23,6,2021,London,13.9,0
2021-06-24,24,6,2021,London,14.9,1
2021-06-25,25,6,2021,London,16.5,1
2021-06-26,26,6,2021,London,16.0,1
2021-06-27,27,6,2021,London,16.8,1
2021-06-28,28,6,2021,London,17.2,1
2021-06-29,29,6,2021,London,16.2,1
2021-06-30,30,6,2021,London,14.4,1
2021-07-01,1,7,2021,London,16.4,1
2021-07-02,2,7,2021,London,18.2,1
2021-07-03,3,7,2021,London,17.8,1
2021-07-04,4,7,2021,London,16.6,1
2021-07-05,5,7,2021,London,16.1,1
2021-07-06,6,7,2021,London,15.5,1
2021-07-07,7,7,2021,London,16.3,1
2021-07-08,8,7,2021,London,16.6,1
2021-07-09,9,7,2021,London,17.6,1
2021-07-10,10,7,2021,London,15.5,1
2021-07-11,11,7,2021,London,16.1,1
2021-07-12,12,7,2021,London,16.5,1
2021-07-13,13,7,2021,London,18.0,1
2021-07-14,14,7,2021,London,18.6,1
2021-07-15,15,7,2021,London,18.0,0
2021-07-16,16,7,2021,London,17.9,0
2021-07-17,17,7,2021,London,20.0,0
2021-07-18,18,7,2021,London,22.3,0
2021-07-19,19,7,2021,London,22.5,1
2021-07-20,20,7,2021,London,22.7,0
2021-07-21,21,7,2021,London,22.4,1
2021-07-22,22,7,2021,London,21.1,0
2021-07-23,23,7,2021,London,18.2,0
2021-07-24,24,7,2021,London,18.3,1
2021-07-25,25,7,2021,London,18.3,1
2021-07-26,26,7,2021,London,19.3,1
2021-07-27,27,7,2021,London,18.1,1
2021-07-28,28,7,2021,London,16.7,1
2021-07-29,29,7,2021,London,16.7,1
2021-07-30,30,7,2021,London,16.7,1
2021-07-31,31,7,2021,London,16.4,1
2021-08-01,1,8,2021,London,16.4,1
2021-08-02,2,8,2021,London,15.2,1
2021-08-03,3,8,2021,London,15.7,1
2021-08-04,4,8,2021,London,16.3,1
2021-08-05,5,8,2021,London,16.5,1
2021-08-06,6,8,2021,London,17.1,1
2021-08-07,7,8,2021,London,16.0,1
2021-08-08,8,8,2021,London,16.1,1
2021-08-09,9,8,2021,London,15.9,1
2021-08-10,10,8,2021,London,17.2,1
2021-08-11,11,8,2021,London,17.3,0
2021-08-12,12,8,2021,London,18.3,1
2021-08-13,13,8,2021,London,17.4,1
2021-08-14,14,8,2021,London,18.4,0
2021-08-15,15,8,2021,London,18.1,1
2021-08-16,16,8,2021,London,15.7,1
2021-08-17,17,8,2021,London,15.3,1
2021-08-18,18,8,2021,London,18.0,1
2021-08-19,19,8,2021,London,16.6,1
2021-08-20,20,8,2021,London,18.0,1
2021-08-21,21,8,2021,London,17.3,1
2021-08-22,22,8,2021,London,17.7,1
2021-08-23,23,8,2021,London,17.1,1
2021-08-24,24,8,2021,London,16.5,1
2021-08-25,25,8,2021,London,16.8,0
2021-08-26,26,8,2021,London,16.3,0
2021-08-27,27,8,2021,London,15.3,0
2021-08-28,28,8,2021,London,15.4,1
2021-08-29,29,8,2021,London,14.7,0
2021-08-30,30,8,2021,London,15.8,1
2021-08-31,31,8,2021,London,15.9,1
2021-09-01,1,9,2021,London,15.9,1
2021-09-02,2,9,2021,London,16.1,0
2021-09-03,3,9,2021,London,16.4,1
2021-09-04,4,9,2021,London,15.7,1
2021-09-05,5,9,2021,London,17.8,0
2021-09-06,6,9,2021,London,19.6,0
2021-09-07,7,9,2021,London,21.2,0
2021-09-08,8,9,2021,London,21.4,0
2021-09-09,9,9,2021,London,18.9,1
2021-09-10,10,9,2021,London,18.3,1
2021-09-11,11,9,2021,London,18.0,1
2021-09-12,12,9,2021,London,16.2,1
2021-09-13,13,9,2021,London,16.4,0
2021-09-14,14,9,2021,London,16.7,1
2021-09-15,15,9,2021,London,16.8,1
2021-09-16,16,9,2021,London,16.1,0
2021-09-17,17,9,2021,London,16.2,1
2021-09-18,18,9,2021,London,17.4,1
2021-09-19,19,9,2021,London,16.1,1
2021-09-20,20,9,2021,London,15.5,1
2021-09-21,21,9,2021,London,15.1,0
2021-09-22,22,9,2021,London,15.0,0
2021-09-23,23,9,2021,London,15.9,1
2021-09-24,24,9,2021,London,16.8,0
2021-09-25,25,9,2021,London,16.8,1
2021-09-26,26,9,2021,London,16.8,1
2021-09-27,27,9,2021,London,15.8,1
2021-09-28,28,9,2021,London,13.5,1
2021-09-29,29,9,2021,London,11.4,1
2021-09-30,30,9,2021,London,12.3,1
2021-10-01,1,10,2021,London,14.7,1
2021-10-02,2,10,2021,London,12.1,1
2021-10-03,3,10,2021,London,12.5,1
2021-10-04,4,10,2021,London,12.9,1
2021-10-05,5,10,2021,London,12.8,1
2021-10-06,6,10,2021,London,12.1,0
2021-10-07,7,10,2021,London,15.1,1
2021-10-08,8,10,2021,London,15.8,1
2021-10-09,9,10,2021,London,12.3,0
2021-10-10,10,10,2021,London,12.9,1
2021-10-11,11,10,2021,London,11.2,0
2021-10-12,12,10,2021,London,11.1,1
2021-10-13,13,10,2021,London,11.5,0
2021-10-14,14,10,2021,London,12.5,1
2021-10-15,15,10,2021,London,11.9,0
2021-10-16,16,10,2021,London,11.8,1
2021-10-17,17,10,2021,London,12.5,1
2021-10-18,18,10,2021,London,13.2,1
2021-10-19,19,10,2021,London,18.0,1
2021-10-20,20,10,2021,London,15.3,1
2021-10-21,21,10,2021,London,9.1,1
2021-10-22,22,10,2021,London,8.2,0
2021-10-23,23,10,2021,London,9.1,0
2021-10-24,24,10,2021,London,12.2,0
2021-10-25,25,10,2021,London,11.7,1
2021-10-26,26,10,2021,London,12.0,0
2021-10-27,27,10,2021,London,14.6,0
2021-10-28,28,10,2021,London,13.7,0
2021-10-29,29,10,2021,London,13.2,1
2021-10-30,30,10,2021,London,11.3,1
2021-10-31,31,10,2021,London,11.4,1
2021-11-01,1,11,2021,London,9.6,1
2021-11-02,2,11,2021,London,6.5,0
2021-11-03,3,11,2021,London,5.7,1
2021-11-04,4,11,2021,London,6.8,0
2021-11-05,5,11,2021,London,5.2,0
2021-11-06,6,11,2021,London,10.0,1
2021-11-07,7,11,2021,London,9.8,0
2021-11-08,8,11,2021,London,7.6,0
2021-11-09,9,11,2021,London,12.3,0
2021-11-10,10,11,2021,London,11.7,0
2021-11-11,11,11,2021,London,10.9,1
2021-11-12,12,11,2021,London,11.9,1
2021-11-13,13,11,2021,London,11.2,0
2021-11-14,14,11,2021,London,10.2,0
2021-11-15,15,11,2021,London,9.8,0
2021-11-16,16,11,2021,London,8.2,1
2021-11-17,17,11,2021,London,7.9,0
2021-11-18,18,11,2021,London,9.3,0
2021-11-19,19,11,2021,London,10.9,0
2021-11-20,20,11,2021,London,10.0,1
2021-11-21,21,11,2021,London,6.6,1
2021-11-22,22,11,2021,London,5.8,0
2021-11-23,23,11,2021,London,4.3,0
2021-11-24,24,11,2021,London,5.3,0
2021-11-25,25,11,2021,London,4.0,0
2021-11-26,26,11,2021,London,4.3,1
2021-11-27,27,11,2021,London,3.3,1
2021-11-28,28,11,2021,London,1.4,0
2021-11-29,29,11,2021,London,0.7,0
2021-11-30,30,11,2021,London,8.7,1
2021-12-01,1,12,2021,London,7.8,1
2021-12-02,2,12,2021,London,1.6,1
2021-12-03,3,12,2021,London,5.2,1
2021-12-04,4,12,2021,London,5.3,1
2021-12-05,5,12,2021,London,5.3,1
2021-12-06,6,12,2021,London,3.8,1
2021-12-07,7,12,2021,London,4.3,1
2021-12-08,8,12,2021,London,5.5,1
2021-12-09,9,12,2021,London,5.1,1
2021-12-10,10,12,2021,London,5.7,1
2021-12-11,11,12,2021,London,4.5,1
2021-12-12,12,12,2021,London,11.5,1
2021-12-13,13,12,2021,London,10.4,0
2021-12-14,14,12,2021,London,10.4,0
2021-12-15,15,12,2021,London,10.6,1
2021-12-16,16,12,2021,London,9.0,1
2021-12-17,17,12,2021,London,7.5,0
2021-12-18,18,12,2021,London,8.1,0
2021-12-19,19,12,2021,London,6.5,0
2021-12-20,20,12,2021,London,5.8,1
2021-12-21,21,12,2021,London,3.9,0
2021-12-22,22,12,2021,London,0.8,0
2021-12-23,23,12,2021,London,6.8,1
2021-12-24,24,12,2021,London,8.3,1
2021-12-25,25,12,2021,London,7.0,1
2021-12-26,26,12,2021,London,7.1,1
2021-12-27,27,12,2021,London,8.6,1
2021-12-28,28,12,2021,London,9.8,1
2021-12-29,29,12,2021,London,10.3,1
2021-12-30,30,12,2021,London,13.7,1
2021-12-31,31,12,2021,London,13.2,1
2022-01-01,1,1,2022,London,13.0,1
2022-01-02,2,1,2022,London,11.1,1
2022-01-03,3,1,2022,London,8.7,0
2022-01-04,4,1,2022,London,4.8,1
2022-01-05,5,1,2022,London,2.1,0
2022-01-06,6,1,2022,London,1.4,1
2022-01-07,7,1,2022,London,3.9,1
2022-01-08,8,1,2022,London,5.8,1
2022-01-09,9,1,2022,London,3.2,0
2022-01-10,10,1,2022,London,4.8,1
2022-01-11,11,1,2022,London,8.5,1
2022-01-12,12,1,2022,London,4.0,0
2022-01-13,13,1,2022,London,1.7,0
2022-01-14,14,1,2022,London,0.4,0
2022-01-15,15,1,2022,London,1.5,0
2022-01-16,16,1,2022,London,3.5,0
2022-01-17,17,1,2022,London,2.4,0
2022-01-18,18,1,2022,London,2.3,0
2022-01-19,19,1,2022,London,5.1,0
2022-01-20,20,1,2022,London,1.8,0
2022-01-21,21,1,2022,London,0.2,0
2022-01-22,22,1,2022,London,2.0,0
2022-01-23,23,1,2022,London,4.4,0
2022-01-24,24,1,2022,London,3.4,0
2022-01-25,25,1,2022,London,2.0,0
2022-01-26,26,1,2022,London,3.5,0
2022-01-27,27,1,2022,London,6.7,0
2022-01-28,28,1,2022,London,4.1,0
2022-01-29,29,1,2022,London,9.9,1
2022-01-30,30,1,2022,London,3.9,0
2022-01-31,31,1,2022,London,5.9,1
2022-02-01,1,2,2022,London,9.1,1
2022-02-02,2,2,2022,London,9.3,0
2022-02-03,3,2,2022,London,8.2,0
2022-02-04,4,2,2022,London,6.5,1
2022-02-05,5,2,2022,London,6.0,0
2022-02-06,6,2,2022,London,9.1,1
2022-02-07,7,2,2022,London,6.4,0
2022-02-08,8,2,2022,London,10.4,0
2022-02-09,9,2,2022,London,9.5,1
2022-02-10,10,2,2022,London,6.2,1
2022-02-11,11,2,2022,London,3.4,0
2022-02-12,12,2,2022,London,4.9,0
2022-02-13,13,2,2022,London,8.0,1
2022-02-14,14,2,2022,London,7.5,1
2022-02-15,15,2,2022,London,6.5,1
2022-02-16,16,2,2022,London,12.6,1
2022-02-17,17,2,2022,London,8.8,1
2022-02-18,18,2,2022,London,8.2,1
2022-02-19,19,2,2022,London,5.5,1
2022-02-20,20,2,2022,London,9.7,1
2022-02-21,21,2,2022,London,7.1,1
2022-02-22,22,2,2022,London,8.4,1
2022-02-23,23,2,2022,London,6.5,1
2022-02-24,24,2,2022,London,6.3,1
2022-02-25,25,2,2022,London,5.8,0
2022-02-26,26,2,2022,London,4.6,0
2022-02-27,27,2,2022,London,5.2,0
2022-02-28,28,2,2022,London,8.6,1
2022-03-01,1,3,2022,London,8.2,1
2022-03-02,2,3,2022,London,6.5,1
2022-03-03,3,3,2022,London,8.5,1
2022-03-04,4,3,2022,London,7.3,1
2022-03-05,5,3,2022,London,5.9,1
2022-03-06,6,3,2022,London,4.5,1
2022-03-07,7,3,2022,London,4.3,0
2022-03-08,8,3,2022,London,5.4,0
2022-03-09,9,3,2022,London,9.2,1
2022-03-10,10,3,2022,London,10.9,0
2022-03-11,11,3,2022,London,10.0,1
2022-03-12,12,3,2022,London,9.1,1
2022-03-13,13,3,2022,London,8.5,1
2022-03-14,14,3,2022,London,7.0,1
2022-03-15,15,3,2022,London,8.5,0
2022-03-16,16,3,2022,London,9.7,1
2022-03-17,17,3,2022,London,7.2,0
2022-03-18,18,3,2022,London,8.0,0
2022-03-19,19,3,2022,London,9.2,0
2022-03-20,20,3,2022,London,6.8,1
2022-03-21,21,3,2022,London,7.5,0
2022-03-22,22,3,2022,London,11.0,1
2022-03-23,23,3,2022,London,10.6,0
2022-03-24,24,3,2022,London,10.1,0
2022-03-25,25,3,2022,London,8.8,0
2022-03-26,26,3,2022,London,9.4,0
2022-03-27,27,3,2022,London,8.2,0
2022-03-28,28,3,2022,London,8.6,1
2022-03-29,29,3,2022,London,9.4,1
2022-03-30,30,3,2022,London,7.9,1
2022-03-31,31,3,2022,London,3.8,1
2022-04-01,1,4,2022,London,3.8,1
2022-04-02,2,4,2022,London,3.3,1
2022-04-03,3,4,2022,London,3.5,1
2022-04-04,4,4,2022,London,8.9,1
2022-04-05,5,4,2022,London,11.1,1
2022-04-06,6,4,2022,London,10.5,1
2022-04-07,7,4,2022,London,9.1,1
2022-04-08,8,4,2022,London,6.0,1
2022-04-09,9,4,2022,London,6.3,1
2022-04-10,10,4,2022,London,7.3,0
2022-04-11,11,4,2022,London,10.6,0
2022-04-12,12,4,2022,London,12.9,1
2022-04-13,13,4,2022,London,12.8,1
2022-04-14,14,4,2022,London,12.3,0
2022-04-15,15,4,2022,London,13.7,0
2022-04-16,16,4,2022,London,12.2,0
2022-04-17,17,4,2022,London,11.9,0
2022-04-18,18,4,2022,London,10.9,0
2022-04-19,19,4,2022,London,11.0,1
2022-04-20,20,4,2022,London,11.3,0
2022-04-21,21,4,2022,London,11.7,0
2022-04-22,22,4,2022,London,11.6,1
2022-04-23,23,4,2022,London,12.6,0
2022-04-24,24,4,2022,London,12.7,0
2022-04-25,25,4,2022,London,9.6,1
2022-04-26,26,4,2022,London,10.0,0
2022-04-27,27,4,2022,London,8.6,1
2022-04-28,28,4,2022,London,9.4,1
2022-04-29,29,4,2022,London,8.5,0
2022-04-30,30,4,2022,London,10.1,0
2022-05-01,1,5,2022,London,11.1,1
2022-05-02,2,5,2022,London,11.8,1
2022-05-03,3,5,2022,London,12.2,0
2022-05-04,4,5,2022,London,12.6,1
2022-05-05,5,5,2022,London,13.2,0
2022-05-06,6,5,2022,London,14.8,0
2022-05-07,7,5,2022,London,14.2,1
2022-05-08,8,5,2022,London,12.4,0
2022-05-09,9,5,2022,London,14.0,0
2022-05-10,10,5,2022,London,15.7,1
2022-05-11,11,5,2022,London,13.1,1
2022-05-12,12,5,2022,London,12.6,0
2022-05-13,13,5,2022,London,14.4,0
2022-05-14,14,5,2022,London,14.4,0
2022-05-15,15,5,2022,London,15.0,1
2022-05-16,16,5,2022,London,16.3,1
2022-05-17,17,5,2022,London,18.1,1
2022-05-18,18,5,2022,London,16.7,1
2022-05-19,19,5,2022,London,16.8,1
2022-05-20,20,5,2022,London,13.6,1
2022-05-21,21,5,2022,London,14.3,0
2022-05-22,22,5,2022,London,15.5,0
2022-05-23,23,5,2022,London,14.2,1
2022-05-24,24,5,2022,London,12.7,1
2022-05-25,25,5,2022,London,13.3,1
2022-05-26,26,5,2022,London,15.6,0
2022-05-27,27,5,2022,London,15.5,0
2022-05-28,28,5,2022,London,12.8,1
2022-05-29,29,5,2022,London,11.1,1
2022-05-30,30,5,2022,London,10.9,1
2022-05-31,31,5,2022,London,11.5,1
2022-06-01,1,6,2022,London,12.3,0
2022-06-02,2,6,2022,London,13.9,0
2022-06-03,3,6,2022,London,16.3,1
2022-06-04,4,6,2022,London,14.9,1
2022-06-05,5,6,2022,London,13.8,1
2022-06-06,6,6,2022,London,14.2,1
2022-06-07,7,6,2022,London,15.5,1
2022-06-08,8,6,2022,London,16.7,1
2022-06-09,9,6,2022,London,15.3,1
2022-06-10,10,6,2022,London,17.8,1
2022-06-11,11,6,2022,London,16.6,1
2022-06-12,12,6,2022,London,15.7,0
2022-06-13,13,6,2022,London,15.3,0
2022-06-14,14,6,2022,London,16.8,0
2022-06-15,15,6,2022,London,18.6,0
2022-06-16,16,6,2022,London,20.0,0
2022-06-17,17,6,2022,London,23.3,1
2022-06-18,18,6,2022,London,19.2,1
2022-06-19,19,6,2022,London,14.6,1
2022-06-20,20,6,2022,London,15.7,1
2022-06-21,21,6,2022,London,16.5,0
2022-06-22,22,6,2022,London,18.2,0
2022-06-23,23,6,2022,London,18.2,1
2022-06-24,24,6,2022,London,18.0,1
2022-06-25,25,6,2022,London,16.1,1
2022-06-26,26,6,2022,London,15.9,0
2022-06-27,27,6,2022,London,15.4,1
2022-06-28,28,6,2022,London,15.8,1
2022-06-29,29,6,2022,London,16.3,1
2022-06-30,30,6,2022,London,15.3,1
2022-07-01,1,7,2022,London,15.4,1
2022-07-02,2,7,2022,London,16.5,1
2022-07-03,3,7,2022,London,16.2,0
2022-07-04,4,7,2022,London,16.5,0
2022-07-05,5,7,2022,London,16.6,0
2022-07-06,6,7,2022,London,18.6,0
2022-07-07,7,7,2022,London,19.7,0
2022-07-08,8,7,2022,London,20.6,0
2022-07-09,9,7,2022,London,20.4,0
2022-07-10,10,7,2022,London,21.0,0
2022-07-11,11,7,2022,London,23.3,0
2022-07-12,12,7,2022,London,24.2,0
2022-07-13,13,7,2022,London,23.1,1
2022-07-14,14,7,2022,London,19.6,0
2022-07-15,15,7,2022,London,19.3,0
2022-07-16,16,7,2022,London,20.6,0
2022-07-17,17,7,2022,London,22.7,0
2022-07-18,18,7,2022,London,27.3,0
2022-07-19,19,7,2022,London,29.2,1
2022-07-20,20,7,2022,London,21.4,1
2022-07-21,21,7,2022,London,20.5,1
2022-07-22,22,7,2022,London,18.9,1
2022-07-23,23,7,2022,London,19.5,1
2022-07-24,24,7,2022,London,20.9,1
2022-07-25,25,7,2022,London,19.9,0
2022-07-26,26,7,2022,London,17.7,1
2022-07-27,27,7,2022,London,17.5,1
2022-07-28,28,7,2022,London,18.2,1
2022-07-29,29,7,2022,London,19.8,0
2022-07-30,30,7,2022,London,20.8,0
2022-07-31,31,7,2022,London,21.4,1
2022-08-01,1,8,2022,London,20.7,0
2022-08-02,2,8,2022,London,21.1,1
2022-08-03,3,8,2022,London,21.9,0
2022-08-04,4,8,2022,London,20.2,0
2022-08-05,5,8,2022,London,17.9,0
2022-08-06,6,8,2022,London,17.5,0
2022-08-07,7,8,2022,London,19.6,0
2022-08-08,8,8,2022,London,20.9,0
2022-08-09,9,8,2022,London,20.7,0
2022-08-10,10,8,2022,London,21.5,0
2022-08-11,11,8,2022,London,23.1,0
2022-08-12,12,8,2022,London,24.2,0
2022-08-13,13,8,2022,London,25.1,0
2022-08-14,14,8,2022,London,25.2,0
2022-08-15,15,8,2022,London,23.1,1
2022-08-16,16,8,2022,London,19.9,1
2022-08-17,17,8,2022,London,19.9,1
2022-08-18,18,8,2022,London,20.0,1
2022-08-19,19,8,2022,London,20.1,1
2022-08-20,20,8,2022,London,18.3,0
2022-08-21,21,8,2022,London,18.5,0
2022-08-22,22,8,2022,London,18.0,1
2022-08-23,23,8,2022,London,21.1,1
2022-08-24,24,8,2022,London,22.2,1
2022-08-25,25,8,2022,London,18.4,1
2022-08-26,26,8,2022,London,18.1,0
2022-08-27,27,8,2022,London,18.0,1
2022-08-28,28,8,2022,London,17.5,0
2022-08-29,29,8,2022,London,17.3,1
2022-08-30,30,8,2022,London,18.3,0
2022-08-31,31,8,2022,London,18.0,1
2022-09-01,1,9,2022,London,19.0,1
2022-09-02,2,9,2022,London,19.0,1
2022-09-03,3,9,2022,London,18.9,1
2022-09-04,4,9,2022,London,19.6,1
2022-09-05,5,9,2022,London,19.7,1
2022-09-06,6,9,2022,London,18.1,1
2022-09-07,7,9,2022,London,17.3,1
2022-09-08,8,9,2022,London,15.8,1
2022-09-09,9,9,2022,London,16.2,1
2022-09-10,10,9,2022,London,16.5,1
2022-09-11,11,9,2022,London,17.2,0
2022-09-12,12,9,2022,London,19.6,1
2022-09-13,13,9,2022,London,17.4,1
2022-09-14,14,9,2022,London,17.1,1
2022-09-15,15,9,2022,London,15.0,1
2022-09-16,16,9,2022,London,12.5,1
2022-09-17,17,9,2022,London,11.3,0
2022-09-18,18,9,2022,London,12.6,0
2022-09-19,19,9,2022,London,13.3,1
2022-09-20,20,9,2022,London,14.2,0
2022-09-21,21,9,2022,London,15.0,0
2022-09-22,22,9,2022,London,14.9,0
2022-09-23,23,9,2022,London,15.2,1
2022-09-24,24,9,2022,London,13.2,1
2022-09-25,25,9,2022,London,12.3,0
2022-09-26,26,9,2022,London,12.6,1
2022-09-27,27,9,2022,London,11.0,1
2022-09-28,28,9,2022,London,10.1,1
2022-09-29,29,9,2022,London,10.3,0
2022-09-30,30,9,2022,London,11.5,1
2022-10-01,1,10,2022,London,15.0,1
2022-10-02,2,10,2022,London,14.1,1
2022-10-03,3,10,2022,London,12.3,0
2022-10-04,4,10,2022,London,15.4,1
2022-10-05,5,10,2022,London,15.8,1
2022-10-06,6,10,2022,London,12.9,0
2022-10-07,7,10,2022,London,14.5,1
2022-10-08,8,10,2022,London,11.1,0
2022-10-09,9,10,2022,London,11.4,0
2022-10-10,10,10,2022,London,12.1,1
2022-10-11,11,10,2022,London,9.4,0
2022-10-12,12,10,2022,London,11.6,1
2022-10-13,13,10,2022,London,13.5,1
2022-10-14,14,10,2022,London,12.0,1
2022-10-15,15,10,2022,London,12.3,1
2022-10-16,16,10,2022,London,13.8,1
2022-10-17,17,10,2022,London,15.3,1
2022-10-18,18,10,2022,London,11.3,0
2022-10-19,19,10,2022,London,14.0,1
2022-10-20,20,10,2022,London,14.0,1
2022-10-21,21,10,2022,London,14.7,1
2022-10-22,22,10,2022,London,14.7,1
2022-10-23,23,10,2022,London,15.4,1
2022-10-24,24,10,2022,London,13.6,1
2022-10-25,25,10,2022,London,13.6,1
2022-10-26,26,10,2022,London,15.9,1
2022-10-27,27,10,2022,London,16.3,1
2022-10-28,28,10,2022,London,15.5,1
2022-10-29,29,10,2022,London,16.3,1
2022-10-30,30,10,2022,London,14.4,1
2022-10-31,31,10,2022,London,14.1,1
2022-11-01,1,11,2022,London,12.7,1
2022-11-02,2,11,2022,London,12.1,1
2022-11-03,3,11,2022,London,10.5,1
2022-11-04,4,11,2022,London,8.5,1
2022-11-05,5,11,2022,London,9.7,1
2022-11-06,6,11,2022,London,12.8,1
2022-11-07,7,11,2022,London,12.9,1
2022-11-08,8,11,2022,London,13.1,1
2022-11-09,9,11,2022,London,11.4,0
2022-11-10,10,11,2022,London,12.9,0
2022-11-11,11,11,2022,London,13.7,0
2022-11-12,12,11,2022,London,11.7,0
2022-11-13,13,11,2022,London,10.7,0
2022-11-14,14,11,2022,London,10.9,1
2022-11-15,15,11,2022,London,11.2,1
2022-11-16,16,11,2022,London,9.8,1
2022-11-17,17,11,2022,London,9.6,1
2022-11-18,18,11,2022,London,8.4,1
2022-11-19,19,11,2022,London,6.7,1
2022-11-20,20,11,2022,London,7.2,1
2022-11-21,21,11,2022,London,5.9,1
2022-11-22,22,11,2022,London,5.8,1
2022-11-23,23,11,2022,London,8.3,1
2022-11-24,24,11,2022,London,9.1,1
2022-11-25,25,11,2022,London,8.4,0
2022-11-26,26,11,2022,London,9.7,1
2022-11-27,27,11,2022,London,11.4,1
2022-11-28,28,11,2022,London,7.5,1
2022-11-29,29,11,2022,London,6.7,0
2022-11-30,30,11,2022,London,6.6,1
2022-12-01,1,12,2022,London,4.9,0
2022-12-02,2,12,2022,London,5.0,1
2022-12-03,3,12,2022,London,6.0,0
2022-12-04,4,12,2022,London,5.1,1
2022-12-05,5,12,2022,London,6.4,0
2022-12-06,6,12,2022,London,4.7,0
2022-12-07,7,12,2022,London,1.1,0
2022-12-08,8,12,2022,London,-1.9,0
2022-12-09,9,12,2022,London,-2.3,0
2022-12-10,10,12,2022,London,-1.9,0
2022-12-11,11,12,2022,London,-2.4,1
2022-12-12,12,12,2022,London,-0.0,1
2022-12-13,13,12,2022,London,-1.6,0
2022-12-14,14,12,2022,London,-1.3,0
2022-12-15,15,12,2022,London,-3.0,0
2022-12-16,16,12,2022,London,-2.7,0
2022-12-17,17,12,2022,London,-0.8,0
2022-12-18,18,12,2022,London,1.6,1
2022-12-19,19,12,2022,London,11.7,1
2022-12-20,20,12,2022,London,9.4,1
2022-12-21,21,12,2022,London,7.0,1
2022-12-22,22,12,2022,London,8.1,1
2022-12-23,23,12,2022,London,9.4,1
2022-12-24,24,12,2022,London,8.4,0
2022-12-25,25,12,2022,London,9.9,1
2022-12-26,26,12,2022,London,6.2,0
2022-12-27,27,12,2022,London,6.0,1
2022-12-28,28,12,2022,London,10.6,1
2022-12-29,29,12,2022,London,8.0,1
2022-12-30,30,12,2022,London,9.4,1
2022-12-31,31,12,2022,London,12.1,1
2023-01-01,1,1,2023,London,10.4,1
2023-01-02,2,1,2023,London,5.9,1
2023-01-03,3,1,2023,London,7.9,1
2023-01-04,4,1,2023,London,12.0,1
2023-01-05,5,1,2023,London,10.5,1
2023-01-06,6,1,2023,London,9.6,1
2023-01-07,7,1,2023,London,10.3,1
2023-01-08,8,1,2023,London,7.4,1
2023-01-09,9,1,2023,London,5.8,1
2023-01-10,10,1,2023,London,8.3,1
2023-01-11,11,1,2023,London,8.8,1
2023-01-12,12,1,2023,London,10.5,1
2023-01-13,13,1,2023,London,7.5,0
2023-01-14,14,1,2023,London,8.9,1
2023-01-15,15,1,2023,London,4.9,0
2023-01-16,16,1,2023,London,2.4,1
2023-01-17,17,1,2023,London,-2.2,0
2023-01-18,18,1,2023,London,-0.5,0
2023-01-19,19,1,2023,London,-0.3,0
2023-01-20,20,1,2023,London,1.7,0
2023-01-21,21,1,2023,London,1.3,0
2023-01-22,22,1,2023,London,-1.8,0
2023-01-23,23,1,2023,London,-1.1,0
2023-01-24,24,1,2023,London,1.8,0
2023-01-25,25,1,2023,London,0.7,1
